"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Astral Microtubule (GO:0000235)","1/6",0.811266284103699,0.99998945479369,0,0,0.624324881467739,0.130583129368431,"MAP9"
"Dystroglycan Complex (GO:0016011)","1/6",0.811266284103699,0.99998945479369,0,0,0.624324881467739,0.130583129368431,"SGCD"
"Flotillin Complex (GO:0016600)","1/6",0.811266284103699,0.99998945479369,0,0,0.624324881467739,0.130583129368431,"SLC6A3"
"Macropinosome (GO:0044354)","1/6",0.811266284103699,0.99998945479369,0,0,0.624324881467739,0.130583129368431,"CARMIL1"
"Membrane Attack Complex (GO:0005579)","1/6",0.811266284103699,0.99998945479369,0,0,0.624324881467739,0.130583129368431,"C7"
"Neurotransmitter Receptor Complex (GO:0098878)","1/6",0.811266284103699,0.99998945479369,0,0,0.624324881467739,0.130583129368431,"HTR3C"
"Pinosome (GO:0044352)","1/6",0.811266284103699,0.99998945479369,0,0,0.624324881467739,0.130583129368431,"CARMIL1"
"Proton-Transporting V-type ATPase, V0 Domain (GO:0033179)","1/6",0.811266284103699,0.99998945479369,0,0,0.624324881467739,0.130583129368431,"ATP6V0D1"
"Vacuolar Proton-Transporting V-type ATPase, V0 Domain (GO:0000220)","1/6",0.811266284103699,0.99998945479369,0,0,0.624324881467739,0.130583129368431,"ATP6V0D1"
"ER To Golgi Transport Vesicle Membrane (GO:0012507)","11/55",0.813347982099595,0.99998945479369,0,0,0.780004131377815,0.161145919749778,"GRIA1;GNAO1;SEC16B;MCFD2;SLC30A5;GOSR2;VTI1A;HLA-DRB3;SEC24D;B2M;CNIH3"
"Intermediate Filament (GO:0005882)","14/69",0.81791887537942,0.99998945479369,0,0,0.79409974068924,0.159607791683067,"DSP;MACF1;KRT80;DST;KRT4;KRT1;BFSP2;KRT18;KRT16;GPER1;MICAL1;PKP2;PKP1;VIM"
"Germ Plasm (GO:0060293)","3/17",0.818928375974873,0.99998945479369,0,0,0.668797690245411,0.133598125047711,"PIWIL2;TDRD1;MOV10L1"
"Recycling Endosome (GO:0055037)","34/159",0.82659565635151,0.99998945479369,0,0,0.848122872561229,0.16151620753405,"GRIA1;APP;MCTP1;WIPF3;NEU3;AP1G1;GPER1;PACSIN2;TBC1D14;B2M;RAB11FIP3;BOK;RAB4A;SLC36A2;LMTK2;ATP11A;COMMD1;SORL1;TMEM230;ENTREP1;SNX18;EHD4;MYL1;SLC9A7;RAB12;SLC9A9;ATP13A3;OR2A4;ABCG1;CFTR;OPTN;RAN;LTF;VAMP3"
"COPI Vesicle Coat (GO:0030126)","2/12",0.827466654319779,0.99998945479369,0,0,0.624247422680412,0.118224015436832,"COPG2;DIPK2A"
