"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Guanyl-Nucleotide Exchange Factor Activity (GO:0005085)","73/203",0.0118601857855293,0.603175162806919,0,0,1.41688775719742,6.2832854202969,"DENND1B;DOCK5;DOCK4;TRIO;DOCK3;DENND5B;DENND1A;DOCK8;RASGRF2;RASGRF1;WDR41;ETFA;PREX2;DOCK10;AKAP13;HERC2;RASGEF1A;RASGEF1B;MCF2L;MCF2L2;SBF2;RALGPS1;VAV3;PLEKHG3;ARHGEF10;PLEKHG1;SWAP70;ARHGEF16;PLEKHG6;GAPVD1;BCR;TIAM1;SPATA13;ARHGEF3;RAPGEF1;ELMO1;RAPGEF2;RIN3;RHOU;ARHGEF7;RAPGEF5;DOCK2;SOS1;RIN2;DOCK1;SOS2;RAPGEF4;ARHGEF28;MYCBP2;ADRB1;KALRN;CYTH3;FGD4;RIC8B;ALS2CL;RAP1A;SLC38A9;CYTH1;FARP2;ARFGEF1;FARP1;ARFGEF2;RIC1;ARHGEF37;RAB3IP;GBF1;HPS1;BMP1;CCDC88C;RAB3GAP2;RGL1;NUCB2;RAB3GAP1"
"Histone H3 Methyltransferase Activity (GO:0140938)","17/36",0.0128488126645259,0.606220557682585,0,0,2.25284488754927,9.81002178485251,"PRMT6;KMT2D;PRDM9;SETD3;PRMT2;KMT2C;SETD1B;SETD7;SETDB2;EHMT1;SETMAR;NSD3;MECOM;SETBP1;NSD2;PRDM16;JARID2"
"Histone H3K4 Methyltransferase Activity (GO:0042800)","8/13",0.0130553116354864,0.606220557682585,0,0,4.02617874736101,17.4678188961394,"NSD3;KMT2D;PRDM9;SETD3;SETBP1;KMT2C;SETD1B;SETMAR"
"Organic Acid:Sodium Symporter Activity (GO:0005343)","7/11",0.0160202884555182,0.682006403972965,0,0,4.40316622691293,18.2022459221019,"SLC23A2;SLC6A6;SLC38A1;SLC5A8;SLC5A12;SLC38A2;SLC38A4"
"Calcium Ion Binding (GO:0005509)","117/346",0.0162086548417018,0.682006403972965,0,0,1.29026024634304,5.31872359965176,"CLXN;CALML5;IHH;CALML3;CDH9;CLU;SLC8A1;CDH7;LOXL2;CDH6;COMP;SCGN;CDH4;HPGDS;CDH2;ENPP2;ENPP3;TGM3;TGM2;TPD52;ANXA13;HPCAL1;EML1;PCP4;STIM2;SPARCL1;MASP1;ASTN2;DSC1;PLA2G5;PGS1;CRACR2A;BCL2L10;SCUBE1;CDH23;MYL10;SYT4;FER1L5;SYT2;SYT1;BRAF;SYT9;ALOX15B;OTOL1;MEX3B;CABYR;CLEC6A;PAM;FBN1;ITGB1;PNLIPRP1;MCTP1;CETN3;DYSF;TCHH;ATP2A2;EFCAB11;PKD2;PPP3CA;PCLO;MB;DNER;NCS1;IDS;ANXA1;ADGRV1;ANXA2;CEMIP2;PLA2G4E;ANXA4;TESC;MYOF;PLA2G4A;F9;ASPH;PLSCR2;CDH11;CDH12;CDHR3;RAPGEF2;CDH13;MICU3;ITGA5;LCP1;MICU1;DSG4;MCTP2;SLC25A12;DNASE1L3;CDH17;CDH18;DDR2;SLC25A13;CANT1;NRXN1;THBS1;THBS4;CAMKK2;OC90;TTN;CLEC3B;SPOCK2;MAN1C1;BNIP2;SPOCK1;SLIT2;SLC25A24;SNCA;RCVRN;KCNIP1;SYT13;SMOC2;ESYT2;NUCB2;TPT1;ADGRL3;CDK5R1"
"Ephrin Receptor Binding (GO:0046875)","11/21",0.0177433358848264,0.682006403972965,0,0,2.76849146277064,11.1618523785143,"LYN;EFNA1;EFNB2;PTPN1;EFNB1;CHN1;FYN;CBL;EFNA5;ANKS1B;NCK1"
"Transmembrane Receptor Protein Phosphatase Activity (GO:0019198)","9/16",0.018106867256791,0.682006403972965,0,0,3.23543902868203,12.9788472078588,"PTPRU;PTPRE;PTPRR;PTPRB;PTPRN2;PTPRA;PTPRO;PTPRM;PTPRG"
"Transmembrane Receptor Protein Tyrosine Phosphatase Activity (GO:0005001)","9/16",0.018106867256791,0.682006403972965,0,0,3.23543902868203,12.9788472078588,"PTPRU;PTPRE;PTPRR;PTPRB;PTPRN2;PTPRA;PTPRO;PTPRM;PTPRG"
"Aminopeptidase Activity (GO:0004177)","14/29",0.018518900482412,0.682006403972965,0,0,2.34944229188681,9.3718393614449,"ERAP2;LVRN;KDM8;ERAP1;NPEPPSP1;CXCR4;LNPEP;TRHDE;NPEPPS;XPNPEP1;MMP15;XPNPEP3;CTSH;METAP1"
"co-SMAD Binding (GO:0070410)","6/9",0.0193952752553218,0.690471799089456,0,0,5.03165670066831,19.8384426206008,"SMAD2;SMAD3;USP9Y;GATA4;SMAD6;TRIM33"
