"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"EZH2 22144423 ChIP-Seq EOC Human","2/34",0.302799159596486,0.857507534596296,0,0,1.86620942812983,2.22953340508041,"KCNJ6;PAX5"
"NFIB 24661679 ChIP-Seq LUNG Mouse","17/453",0.303868441789828,0.857507534596296,0,0,1.16694852514226,1.39002290526068,"MYLIP;ANKRD37;KCNJ6;WDR26;KIDINS220;UXS1;WDR75;WNT7A;KCNJ16;CAPG;CHD2;NFIL3;HOXB3;SSBP2;CALM2;TCP11;VAT1L"
"KLF4 25985364 ChIP-Seq ATHEROSCLEROSIS LESION Mouse","31/865",0.309128018204328,0.86347030706388,0,0,1.11372455433711,1.3075123923376,"HCN4;SAMD9L;INO80D;SLC35F3;COL12A1;BTF3L4;SEZ6;ICAM2;SMC5;FOXK1;FSTL1;RGS4;FAM124B;CHORDC1;TRIM24;PROK2;ATP6V0A1;CDK17;WDR75;HTR1B;LRP1B;PPM1A;MARCO;BIN3;POC5;SERBP1;SPOPL;PSMG1;SNRNP48;STEAP1;ABCG2"
"SOX2 22085726 ChIP-Seq NPCs Mouse","50/1430",0.310148741532609,0.86347030706388,0,0,1.0870170090247,1.27257438351188,"TOP2B;ARPC5L;PIK3CD;NUBP1;GIMAP8;OPA1;MAGOH;ADAMTS6;NCOA2;APOBEC4;ENTPD5;PABPC4;DDX55;ARHGEF17;ACOT13;APOA4;APOA5;ACTA1;CREB1;KATNAL1;MAK;HOXB3;HOXB7;UBIAD1;LRTM2;RPE;PRDM14;KCNA5;COX7A2;KLC4;STRA8;AMN1;MED30;TPR;SLIT1;NPHP3;CNNM2;RUNX1T1;ATE1;USP25;SLC37A2;HELT;PLAC8L1;OPN5;CPPED1;TMEM60;SCGB1A1;ATP13A4;SLC22A8;NEK11"
"POU5F1 16518401 ChIP-PET MESCs Mouse","30/836",0.310325140117628,0.86347030706388,0,0,1.11512204508192,1.30484299083264,"CFH;CPXM2;RPE;SEZ6;PIK3CD;AHR;ASB18;SHH;TRIM24;SLIT1;TNR;NPHP3;KPNA4;RHBG;TCP11;PLEKHA5;PAWR;VEZF1;PDYN;BLCAP;PPM1A;AFG3L2;DHRS7;B3GNT7;ECHDC2;ROR2;DHCR7;HOXB8;HOXB6;HOXB5"
"PBX 27287812 Chip-Seq EMBYONIC-LIMB Mouse","52/1490",0.310617506433718,0.86347030706388,0,0,1.08502177088502,1.26859986650504,"TOP2B;CCDC121;RTP2;DGKD;UXS1;CHRM5;GDE1;CHD2;HAPLN3;GIMAP8;TMEM220;BOLL;CCND1;ANKRD1;BBX;RGS9;TTC23L;ZBP1;NCOA2;MKKS;STARD5;IL16;CACNA2D4;PAX5;BPGM;RUNX2;MYH3;B3GNT7;HOXB3;XCL1;SGK1;HOXB6;HOXB5;RNASEL;PDE1C;SYNPO2;GLRX;MRO;NR2C2;FSTL1;CPLX4;TMEM168;MOBP;SLIT1;RUNX1T1;PLAC8L1;MCOLN2;SMUG1;EIF3M;PSMC1;DHCR7;FGFR2"
"RARB 27405468 Chip-Seq BRAIN Mouse","56/1611",0.312978486012993,0.866799152712566,0,0,1.08075023180406,1.25542197652168,"MYLK2;ANKRD37;DGKD;EIF4E3;CHRM5;ARPC5L;FBXO21;CHD2;RYR3;RGS4;UCHL1;CTSL;WDR7;RGS9;HS3ST3B1;ACTN2;PABPC4;WDR75;ACOT13;FOXL2;CACNB2;ACTA1;EID3;BIN3;MRAS;LACTB2;FEZ1;SLC9A8;PEX5;INO80D;NXPH3;LRTM2;RPE;FOXK1;NR2C2;FAM184A;CHST15;LEKR1;RUNX1T1;ATP6V0A1;PACSIN1;TGFB2;HTR1B;CPPED1;SMUG1;ZFAT;SCGB1A1;BHLHE40;CDK1;TRMT12;RAD1;SLC22A8;SSBP2;SP9;CALM2;TOMM6"
"ENL 26711339 ChIP-Seq SEM Human Blood Leukemia","53/1523",0.316068281459966,0.872114332176574,0,0,1.08169314705748,1.24589093053637,"ITSN2;OTUD4;AVEN;TOP2B;CIITA;DGKD;UXS1;PIK3CD;GLI1;NUDT5;CHD2;RYR3;ZC3H12D;SNAPC5;PPP3CC;EXO1;CHORDC1;TRIM24;BBX;NEK1;ITGB8;ACTL6A;PAWR;PAX5;RUNX2;SUPT3H;MELK;CREB1;FDX1;RBM12B;TRIM59;BLK;INO80D;PPM1L;PDS5B;LIN7C;HMBOX1;HLX;TRA2B;TPR;UGT3A2;ATG5;TXNDC5;SLC12A2;TFAP2A;USP25;RRM2;RAD52;PTPRC;ZFAT;ID2;SSBP2;CALM2"
"VDR 24787735 ChIP-Seq THP-1 Human","24/663",0.319694470453583,0.874883402344142,0,0,1.12447699530516,1.28234177993027,"TOP2B;SLC37A2;GSX1;BCKDHB;SEZ6;FOXK1;CHD2;GPN1;UACA;SNAPC5;PSMA6;SHH;MED30;POC5;ARTN;BASP1;HLX;ZFAT;BHLHE40;SLITRK6;VOPP1;TNR;ALDH8A1;ATP6V1G3"
"NFE2L2 20460467 ChIP-Seq MEFs Mouse","31/870",0.32059485750329,0.874883402344142,0,0,1.10678840197338,1.25905711756739,"EIF4E3;SYNPO2;GCNT1;TMTC3;PIK3CD;SMC5;AHR;LRP8;RGS4;RNF216;OPA1;HINT3;CASP6;CHORDC1;KCNJ2;ATG5;TXNDC5;TGFB2;ENTPD5;PAWR;PLAC8L1;PRDX6;MCOLN2;ZC3H11A;ZFAT;SUB1;RGS10;PSMG1;CD302;ALDH8A1;SGK1"
"NRF2 20460467 ChIP-Seq MEFs Mouse","31/870",0.32059485750329,0.874883402344142,0,0,1.10678840197338,1.25905711756739,"EIF4E3;SYNPO2;GCNT1;TMTC3;PIK3CD;SMC5;AHR;LRP8;RGS4;RNF216;OPA1;HINT3;CASP6;CHORDC1;KCNJ2;ATG5;TXNDC5;TGFB2;ENTPD5;PAWR;PLAC8L1;PRDX6;MCOLN2;ZC3H11A;ZFAT;SUB1;RGS10;PSMG1;CD302;ALDH8A1;SGK1"
"POU3F1 26484290 ChIP-Seq ESCss Mouse","54/1557",0.32318584274587,0.87873522936377,0,0,1.07772354450762,1.2173186575488,"OTUD4;TOP2B;ANKRD37;CCDC121;GPR26;ARPC5L;GRIK1;DCAF5;CHD2;RGS5;RSRC1;BASP1;ITGB8;RPL38;PGM1;DACT1;HS3ST3B1;PAX5;BPGM;SUPT3H;MLF1;MRAS;POC5;PEX5;SNRPE;NUP54;XPR1;RNASEL;COL15A1;RPE;GNAI3;PPM1F;NEUROD1;DSEL;CCDC73;ATP6V0A1;RIBC2;CDK17;PLEKHA5;KCNJ16;PRDX6;BLCAP;NAP1L5;MARCO;CYP24A1;ZFAT;ID2;TRMT12;DHCR7;SLC22A8;RCOR3;SP9;CALM2;FGFR2"
"THAP11 20581084 ChIP-Seq MESCs Mouse","21/577",0.325605559949374,0.882095062408305,0,0,1.1303870916006,1.26837182627474,"OTUD4;PCGF6;NUP133;BTF3L4;TMTC3;RPL23A;NUP153;EIF2S2;SMUG1;HMBOX1;UBLCP1;OPA1;KATNAL1;EXO1;ZC3H11A;SLC9A8;SERBP1;TPR;CHORDC1;RAD1;NUP54"
"WT1 19549856 ChIP-ChIP CCG9911 Human","7/173",0.330608056380851,0.892402181172949,0,0,1.2601339939196,1.39474368078552,"TFAP2A;WDR26;RRM2;GNAI3;SSBP2;FSTL1;DACT1"
"RARG 19884340 ChIP-ChIP MEFs Mouse","12/317",0.334144300035788,0.898691348471704,0,0,1.17637491314306,1.28952140885419,"ZBP1;TOP2B;CCND1;PPM1L;TGFB3;GDE1;PICK1;FSTL1;HOXA13;NID2;DHRS3;FGFR2"
"AR 19668381 ChIP-Seq PC3 Human","95/2803",0.337993460495824,0.905773841976218,0,0,1.05389366444657,1.14318873759372,"ITSN2;VIPR1;DGKD;COL12A1;AQP9;STAB2;GLI1;CHD2;HOXA13;NUBP1;RYR3;FADS3;PPP4R1;CCND1;TRIM24;DHX15;BBX;ITGB8;MAN1A1;PGM1;UTP14C;ZBP1;HS3ST3B1;MYLIP;NCOA2;PLA2G4F;STARD5;ACTN2;BCKDHB;WDR75;IFT80;FOXL2;VEZF1;CACNA2D4;PAX5;BPGM;PDYN;DEXI;RUNX2;SUPT3H;CACNB2;ACTA1;MRAS;SLC9A5;MELK;ELF5;MTHFD2L;RBM12B;HOXB3;PICK1;DSG2;ROR2;EXOC2;BLK;WDR26;PPM1L;NXPH3;RPE;SDC2;RGS16;BTF3L4;GNAI3;PRDM14;FOXK1;LRP8;NID2;CPLX4;P2RY6;SLIT1;MSX1;CDH26;NKX2-2;TXNDC5;RIBC2;TFAP2A;USP25;SLC37A2;KCNJ6;CA10;TFAP2D;KIDINS220;PTPN14;OPN5;DHRS3;LRP1B;TMEM60;MARCO;PTPRC;BAMBI;ID2;TRMT12;SSBP2;PPIL4;FGFR2;NEK11"
